Bus_Routes_Name,Bus_Routes_links,Bus_name,Bus_type,Departing_time,Duration,Reaching_time,Star_rating,Price,Seat_availability
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RAJULATALLI TRAVELS,NON A/C Semi Sleeper (2+2),21:30,07h 30m,05:00,1.0,4500,"40 Seats available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,RAJULATALLI TRAVELS,NON A/C Semi Sleeper (2+2),21:30,07h 30m,05:00,1.0,4500,"40 Seats available
1 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,A/C Seater / Sleeper (2+1),20:40,08h 30m,05:10,2.8,INR 3000,"50 Seats available
16 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,A/C Seater / Sleeper (2+1),20:40,08h 30m,05:10,2.8,INR 3000,"50 Seats available
16 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,Non A/C Seater / Sleeper (2+1),20:31,08h 29m,05:00,2.8,INR 500,"30 Seats available
3 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,Non A/C Seater / Sleeper (2+1),20:31,08h 29m,05:00,2.8,INR 500,"30 Seats available
3 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,A/C Seater / Sleeper (2+1),20:40,08h 30m,05:10,2.8,INR 3000,"50 Seats available
16 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vsaikrishna Travels,A/C Seater / Sleeper (2+1),20:40,08h 30m,05:10,2.8,INR 3000,"50 Seats available
16 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),23:51,07h 09m,07:00,2.8,INR 790,"34 Seats available
8 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),23:51,07h 09m,07:00,2.8,INR 790,"34 Seats available
8 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Krishna Travels,A/C Sleeper (2+1),02:00,07h 40m,09:40,2.8,INR 900,"11 Seats available
3 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Krishna Travels,A/C Sleeper (2+1),02:00,07h 40m,09:40,2.8,INR 900,"11 Seats available
3 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Shree Manikanta Travels,A/C Seater / Sleeper (2+1),20:00,07h 15m,03:15,2.7,INR 899,"23 Seats available
6 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Shree Manikanta Travels,A/C Seater / Sleeper (2+1),20:00,07h 15m,03:15,2.7,INR 899,"23 Seats available
6 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Tranzindia Travels,Volvo Multi-Axle A/C Sleeper (2+1),03:30,07h 15m,10:45,2.4,INR 749,"14 Seats available
2 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Tranzindia Travels,Volvo Multi-Axle A/C Sleeper (2+1),03:30,07h 15m,10:45,2.4,INR 749,"14 Seats available
2 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Navayuga Travels,NON AC Seater / Sleeper 2+1,21:00,06h 30m,03:30,2.3,INR 790,"34 Seats available
8 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Navayuga Travels,NON AC Seater / Sleeper 2+1,21:00,06h 30m,03:30,2.3,INR 790,"34 Seats available
8 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SRI RATAN TATA EXPRESS,A/C Sleeper (2+1),02:00,06h 30m,08:30,2.2,2374,"36 Seats available
12 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,SRI RATAN TATA EXPRESS,A/C Sleeper (2+1),02:00,06h 30m,08:30,2.2,2374,"36 Seats available
12 Single"
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,New Sindhu Travels,Non A/C Seater / Sleeper (2+1),19:45,10h 20m,06:05,2.1,INR 3000,"35 Seats available
15 Single"
